config,guidance_scale,steps,total_latency_s,per_step_s
cfg_off,1.0,10,1.2809813022613525,0.12809813022613525
cfg_off,1.0,20,2.286809206008911,0.11434046030044556
cfg_off,1.0,30,3.2846548557281494,0.10948849519093831
cfg_off,1.0,40,4.274620532989502,0.10686551332473755
cfg_off,1.0,50,5.286817789077759,0.10573635578155517
cfg_on,7.0,10,2.1415016651153564,0.21415016651153565
cfg_on,7.0,20,4.0293989181518555,0.20146994590759276
cfg_on,7.0,30,5.909913063049316,0.19699710210164387
cfg_on,7.0,40,7.785685300827026,0.19464213252067566
cfg_on,7.0,50,9.666736602783203,0.19333473205566407
